,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
20,ponkarthik_r,Police Officer @tnpoliceoffl|Tweets're personal|Not my Employer's|Ad Astra per Aspera🚀|#PSGTech|@UniversityLeeds|@CheveningFCDO Scholar🇮🇳🇬🇧|,"Yorkshire and The Humber, UK",1724,2868,3818,1,"Learnt this in my Master's degree Module last year.

#UniversityLife #LearningIsForEver #UniversityofLeeds #IamChevening #Chevening #ChosenforChevening https://t.co/CFuq9cLxDn","['UniversityLife', 'LearningIsForEver', 'UniversityofLeeds', 'IamChevening', 'Chevening', 'ChosenforChevening']"
21,AlphaClassMovie,"Alpha Class is the shocking true story of a fraternity behind closed doors, filmed by the brothers themselves... Streaming Now on Amazon Prime👇","Tempe, AZ",900,732,979,0,Raise your hand if you've been there done that? #CollegeLife #UniversityLife #College #Fraternity #Sorority https://t.co/RpLrooo1Kv,"['CollegeLife', 'UniversityLife', 'College', 'Fraternity', 'Sorority']"
22,chooseyouruni,"Helping current & soon-to-be university students level up their study skills & make decisions.
Online support to ace your courses!
Higher education professional","Toronto/Tkaronto, ON, Canada",1069,277,4802,0,"As a student, you are taking steps every week towards your degree!

Don’t wait for graduation to celebrate.

Take time to celebrate the small things.

What have you accomplished this week?

#studentlife #universitylife https://t.co/jp13mwTpny","['studentlife', 'universitylife']"
23,talks_common,"Muslim Alhumdulilah, Nustian 
⚽️ and  🏏 Lover. @ https://t.co/zHE1tvVHG0 
Exploring world 🇦🇪 🇹🇷 🇧🇭 ....","Sialkot, Pakistan",91,10,179,5,"The National University of Science and Technology, motivated by a strategy linked to the Sustainable Development Goals has once again achieved great #success, rising into the top 200 institutions in the world.

Article:
https://t.co/1PHqYvS3Xu

#NUST #universitylife #studyabroad https://t.co/dL1xlR00uY",[]
24,CheapEssaysUK,"Get best essay writing services from Cheap Essay Writing UK. We have most qualified, experienced and British native essay writers who can provide best essays.","London, United Kingdom",99,37,364,0,"✨Compliance with deadlines ✨

Visit us for more information: https://t.co/PgPtsf03H8 |
Call us at +44-121286-2211
.
.
.
#writing #university #ielts #essay #vocabulary #creativewriting #exams #essayhelp #grammar #dissertation #essays #thesis #assignment #universitylife #writing https://t.co/ry7ffBq041","['writing', 'university', 'ielts', 'essay', 'vocabulary', 'creativewriting', 'exams', 'essayhelp', 'grammar', 'dissertation', 'essays', 'thesis', 'assignment', 'universitylife', 'writing']"
25,Sharon_writer1,"No Wasting time and Money Here.
Pay me to work on your online  classes, Essays,Assignments and much more🤓
HMU📚📚
SC: Nickysharon7","Houston, TX",4864,79,55,0,"I am just ready to have all your requests for Essay/Assignment help this summer.Y'all should see what I can do.#Essays#universitylife #Essaydue #Assignmentdue.#workhardplayhard #money #Inboxme  #iloveithere 
#SHSU 
#LU24 
#PSU
#FVSU23 https://t.co/UFkCeJQqE0","['Essaydue', 'Assignmentdue', 'workhardplayhard', 'money', 'Inboxme', 'iloveithere', 'SHSU', 'LU24', 'PSU', 'FVSU23']"
26,acetuk1,ACET-UK is one of the best leading providers of private tutors and academic writing help for higher education in the UK.,"1 & 3 King Meadow, Oxford, OX2",106,206,1196,0,"Don’t hesitate to contact us right away through our WhatsApp number : 0044741 373 9721

Or visit our website: https://t.co/Vs5OKDv6eE
If you need any help

#writting #tips #universitylife https://t.co/5nJOGjyfRo","['writting', 'tips', 'universitylife']"
27,UniAccessDE,Your single solution for all international education needs. Our goal is to create extraordinary impact on the admission process.,"Nuremberg, Germany",1,14,136,0,"Start your study program at one of the best universities in Germany.🛫
Share it and start applying
Register at https://t.co/M4Rl08jmXr
#kempten #university #germany #Application #germanuniversity #universitylife #universities #students #studyabroad  #studyingermany #MSinGermany https://t.co/9AMJ6toHmS","['kempten', 'university', 'germany', 'Application', 'germanuniversity', 'universitylife', 'universities', 'students', 'studyabroad', 'studyingermany', 'MSinGermany']"
28,PritiSi09774713,Your life does not get better by chance. It gets better by a change,,7,0,54,3,"Your dream to become a doctor in US is waiting.
Apply now! 
.
.
.
#wuhs #washingtonuniversity #washingtonstudent #belize #student  #medicaluniversity #medicalschool #medicalscience #medicalstudent #university #usa #universitylife https://t.co/zkv3Olbr7x","['wuhs', 'washingtonuniversity', 'washingtonstudent', 'belize']"
29,ZeenatK73230621,Entrepreneur,Pune,5,1,136,3,"Your dream to become a doctor in US is waiting.
Apply now! 
.
.
.
#wuhs #washingtonuniversity #washingtonstudent #belize #student  #medicaluniversity #medicalschool #medicalscience #medicalstudent #university #usa #universitylife https://t.co/zkv3Olbr7x","['wuhs', 'washingtonuniversity', 'washingtonstudent', 'belize']"
30,chooseyouruni,"Helping current & soon-to-be university students level up their study skills & make decisions.
Online support to ace your courses!
Higher education professional","Toronto/Tkaronto, ON, Canada",1069,277,4802,0,"As a student, you are taking steps every week towards your degree!

Don’t wait for graduation to celebrate.

Take time to celebrate the small things.

What have you accomplished this week?

#studentlife #universitylife https://t.co/BU1UxDkx7D","['studentlife', 'universitylife']"
31,WUHS1,"The WUHS was among the first of International medical schools to adopt a competency-based curriculum, providing students with excellent training.",Belize,66,106,177,3,"Your dream to become a doctor in US is waiting.
Apply now! 
.
.
.
#wuhs #washingtonuniversity #washingtonstudent #belize #student  #medicaluniversity #medicalschool #medicalscience #medicalstudent #university #usa #universitylife https://t.co/zkv3Olbr7x","['wuhs', 'washingtonuniversity', 'washingtonstudent', 'belize', 'student', 'medicaluniversity', 'medicalschool', 'medicalscience', 'medicalstudent', 'university', 'usa', 'universitylife']"
32,Schiller_SIU,"The Real Global Learning Experience.  Learn-by-living and acquire the knowledge, experience, and global mindset to become a Smart Global Professional.",,422,369,1891,0,"SCHILLER TIPS 💡: Final exams are a stressful experience for most students. Reduce its negative psychological impact following these easy tips. #TheGlobalAmericanUniversity #LearningByLiving #universitylife
#studyabroad #transformation #advantage #global https://t.co/hHinXFraYc","['TheGlobalAmericanUniversity', 'LearningByLiving', 'universitylife', 'studyabroad', 'transformation', 'advantage', 'global']"
33,mlem_bun,My birthstone is rockbottom✨,,93,24,244,0,Buying 2 things and being broke for life again #universitylife https://t.co/p5Gj2Fizrn,['universitylife']
34,KateOrtouste,Proud Cebuana 🇵🇭 Tawag ng Tanghalan S3 Contender | Wish 107.5 S2 Semi-Finalist | Matteo Guidicelli’s: The Pop Stage Finalist | Sinulog Idol S9 Finalist,Republic of the Philippines,126,157,3345,0,"I’m quite stressing out for finals week, but I just wanted to share this photo to make my day 😬

#universitylife 
#tuesdayvibe 
#exam2022 
#WorldPeace 
#StandWithUkraine https://t.co/z0yZNQWnK9","['universitylife', 'tuesdayvibe', 'exam2022', 'WorldPeace', 'StandWithUkraine']"
35,brisbanemobile,"Our name confirms exactly what we do, mobile phone repairs. We have qualified technicians,all work guaranteed.Same day Service.",Brisbane,49,152,279,0,"Make sure you keep it on silent😅😅

#backtoschool #universitylife #brisbane #schoollife #studentlife #collegelife https://t.co/MQg61to4q7","['backtoschool', 'universitylife', 'brisbane', 'schoollife', 'studentlife', 'collegelife']"
36,LondonMetSC,@LondonMetUni schools and colleges team offers various free opportunities for students to engage in Higher Education. See also @LondonMetWP,"London, England",486,308,572,0,Dohhhh! 🙈 We're so sorry we put the wrong link to our #SummerSchool page in our last tweet- this is right one to use if you would like to apply for a fantastic week of FREE fun and get a taste of #UniversityLife! https://t.co/DJjsvQPTgp https://t.co/zCf7KYcJlB,"['SummerSchool', 'UniversityLife']"
37,iRakulVaidya,,,16,2,52,3,"#mondaymotivation
Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.""
.
.
.
.

#CCU #columbuscentraluniversity #collegelife #university #universitylife #knowledgeispower #knowledge https://t.co/Ohuln1LrNG",['mondaymotivation']
38,ZeenatK73230621,Entrepreneur,Pune,5,1,136,3,"#mondaymotivation
Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.""
.
.
.
.

#CCU #columbuscentraluniversity #collegelife #university #universitylife #knowledgeispower #knowledge https://t.co/Ohuln1LrNG",['mondaymotivation']
39,ZeenatK73230621,Entrepreneur,Pune,5,1,136,3,"#mondaymotivation
The struggle you are in today is developing the strength you need for tomorrow.
.
.
.
#washingtonuniversity
#washingtonstudent #belize #knowledge #university #universitylife #college #collegelife #college #scientific #scienceworld #training #experiment https://t.co/mkLOTsGcsX","['mondaymotivation', 'washingtonuniversity']"
40,ShezalD,,,8,5,216,3,"#fridayfact
Our liver simultaneously performs over 200 important functions for the body. Some of these important functions include supplying glucose to the brain, combating infections, and storing nutrients
.
.
#ccu #columbuscentraluniversity #university #universitylife https://t.co/TErFH9taP1",['fridayfact']
41,ShezalD,,,8,5,216,3,"#mondaymotivation
Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.""
.
.
.
.

#CCU #columbuscentraluniversity #collegelife #university #universitylife #knowledgeispower #knowledge https://t.co/Ohuln1LrNG",['mondaymotivation']
42,ShezalD,,,8,5,216,3,"#mondaymotivation
The struggle you are in today is developing the strength you need for tomorrow.
.
.
.
#washingtonuniversity
#washingtonstudent #belize #knowledge #university #universitylife #college #collegelife #college #scientific #scienceworld #training #experiment https://t.co/mkLOTsGcsX","['mondaymotivation', 'washingtonuniversity']"
43,SusanWray17,,,27,1,204,1,"👉 BREAK THAT THESIS PARALYSIS

Visit us for more information: https://t.co/PgPtsf03H8 |
Call us at  +44-121286-2211
.
.
.
#writing #university #ielts #essay #vocabulary #creativewriting #exams #essayhelp #grammar #dissertation #essays #thesis #assignment #universitylife https://t.co/QpxRIeOpIC",[]
44,Mhaneef_94,"Member at Google Developer Group Live Pakistan |
Graphic Designer |
Web Developer |
Flutter Beginner 🔰|
Tech-Nerd |
Huawei Campus-Ambassador |
Philanthropist |","North-west Frontier, Pakistan",208,53,131,0,"From the age of Childhood, Towards the end of a beautiful journey and Learning period!!! 

lets say, a warm Welcome to Practical/ Professional life... 
2018-2022 
#BS #GraduationYear #UOP 
#Universitylife #technerd
Last two Weeks of Bachelors !!! https://t.co/WNsbwC3FAL","['BS', 'GraduationYear', 'UOP', 'Universitylife', 'technerd']"
45,NickBiring,Co-founder @btrnews247, Nationwide,2436,2489,3181,3,Research: how satisfied are students: https://t.co/3dsoFPu8I2 cc @accomforstudent #pbsanews #pbsa #purposebuilt #studentaccommodation #studentliving #studentexperience #universitylife #research #data #insights #marketinsights #marketdata #studentresearch https://t.co/h3BC2aTWb8,"['pbsanews', 'pbsa', 'purposebuilt']"
46,maliktayyab065,"Student | Software engineering | Islamabad, Pakistan |",,166,34,262,0,"There are 3 kinds of lies...
lies, damned lies, and statistics 🙄
#Universitylife
#Statistics 
#Dollar 
#SiddhuMoosewala 
#snapchat","['Universitylife', 'Statistics', 'Dollar', 'SiddhuMoosewala', 'snapchat']"
47,superiorpaper5,"Kindly DM anytime for help in Maths, calculus, statistics, physics, chem, bio, online summer classes , exams, etc. Call/Text /WhatsApp 
+1(445) 465-7002",United States,2651,366,34486,0,"Pay For Guaranteed Results in
Exams
Summer classes
Final paper
Maths 
Calculus
Eng
Thesis
Stats
Essays due 
Finance
Accounting
Geography
Assignments 
Biology
Physics
Homework
Psychology
Physics #education #assignments #FAMU23 #MyASU #universitylife","['education', 'assignments', 'FAMU23', 'MyASU', 'universitylife']"
48,pte_etk_eng,"Pioneering health sciences education at the heart of Europe
📷 https://t.co/AlqGtAcoMy 🔴 https://t.co/wvJ2GYRE1Y
✍ intoffice@etk.pte.hu ☎ +3672513670","Pécs, Hungary",4,26,207,0,"Tags: 
#universityofpécs #up #facultyofhealthsciences #linkinbio #studyinpécs #studyinhungary🇭🇺 #studyineurope🇪🇺 #studyabroad #expandyourhorizons #gobeyond #takeyourchance #apply #applynowonline #studyabroadlife #universitylife #modernhighereducation #highqualityeducation","['universityofpécs', 'up', 'facultyofhealthsciences', 'linkinbio', 'studyinpécs', 'studyinhungary', 'studyineurope', 'studyabroad', 'expandyourhorizons', 'gobeyond', 'takeyourchance', 'apply', 'applynowonline', 'studyabroadlife', 'universitylife', 'modernhighereducation', 'highqualityeducation']"
49,SweetPaapi,| Digital Marketer | | Sales & Marketing | | Helping Graduates Make Passive Income Online Via Affiliate Marketing With Just A Smartphone and Internet |,"👇🏾Connect, With Wealth ",616,579,27061,3,"#mondaymotivation
The struggle you are in today is developing the strength you need for tomorrow.
.
.
.
#washingtonuniversity
#washingtonstudent #belize #knowledge #university #universitylife #college #collegelife #college #scientific #scienceworld #training #experiment https://t.co/mkLOTsGcsX","['mondaymotivation', 'washingtonuniversity']"
50,WUHS1,"The WUHS was among the first of International medical schools to adopt a competency-based curriculum, providing students with excellent training.",Belize,66,106,177,3,"#mondaymotivation
The struggle you are in today is developing the strength you need for tomorrow.
.
.
.
#washingtonuniversity
#washingtonstudent #belize #knowledge #university #universitylife #college #collegelife #college #scientific #scienceworld #training #experiment https://t.co/mkLOTsGcsX","['mondaymotivation', 'washingtonuniversity', 'washingtonstudent', 'belize', 'knowledge', 'university', 'universitylife', 'college', 'collegelife', 'college', 'scientific', 'scienceworld', 'training', 'experiment']"
51,columbus_univ,Coloumbus Central University,,0,46,57,3,"#mondaymotivation
Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.""
.
.
.
.

#CCU #columbuscentraluniversity #collegelife #university #universitylife #knowledgeispower #knowledge https://t.co/Ohuln1LrNG","['mondaymotivation', 'CCU', 'columbuscentraluniversity', 'collegelife', 'university', 'universitylife', 'knowledgeispower', 'knowledge']"
52,MasonHousing,"We are committed to providing a safe, well-maintained, student-centered environment that is innovative & inclusive of a global community @GeorgeMasonU","Fairfax, VA",242,2205,6127,0,"""Land of the free, because of the brave."" Mason Housing celebrates Memorial Day, a time to remember our military’s fallen heroes who have sacrificed their lives for the protection of our land.
#masonhousing #universitylife #masonnation #georgemason #memorialday 💚💛 https://t.co/nQ53ASnzMw","['masonhousing', 'universitylife', 'masonnation', 'georgemason', 'memorialday']"
53,kabaliuoh,Adventure traveller,Hyderabad ,140,45,106,0,"No boundaries at all 
to make your life joyful 
in every moment… 
life of kabali 🤘🤘🤘

#selvankabali
#sukoon2022
#HCU
#universitystudent
#universitylife
#campusfiles
#universitylifestyle
Pic: Goutham Bandi https://t.co/EMgfSmq5GP","['selvankabali', 'sukoon2022', 'HCU', 'universitystudent', 'universitylife', 'campusfiles', 'universitylifestyle']"
54,CheapEssaysUK,"Get best essay writing services from Cheap Essay Writing UK. We have most qualified, experienced and British native essay writers who can provide best essays.","London, United Kingdom",99,37,364,1,"👉 BREAK THAT THESIS PARALYSIS

Visit us for more information: https://t.co/PgPtsf03H8 |
Call us at  +44-121286-2211
.
.
.
#writing #university #ielts #essay #vocabulary #creativewriting #exams #essayhelp #grammar #dissertation #essays #thesis #assignment #universitylife https://t.co/QpxRIeOpIC","['writing', 'university', 'ielts', 'essay', 'vocabulary', 'creativewriting', 'exams', 'essayhelp', 'grammar', 'dissertation', 'essays', 'thesis', 'assignment', 'universitylife']"
55,iRakulVaidya,,,16,2,52,3,"#fridayfact
Our liver simultaneously performs over 200 important functions for the body. Some of these important functions include supplying glucose to the brain, combating infections, and storing nutrients
.
.
#ccu #columbuscentraluniversity #university #universitylife https://t.co/TErFH9taP1",['fridayfact']
56,ShezalD,,,8,5,216,2,"#fridayfact
Kidney filter a half-cup of blood every minute, which works out to be 45 gallons of blood per day
.
.
.
#fridayfacts #wuhs #washingtonuniversity #washingtonstudent #belize #universitylife https://t.co/fQWrHROk9X","['fridayfact', 'fridayfacts']"
57,ZeenatK73230621,Entrepreneur,Pune,5,1,136,2,"#fridayfact
Kidney filter a half-cup of blood every minute, which works out to be 45 gallons of blood per day
.
.
.
#fridayfacts #wuhs #washingtonuniversity #washingtonstudent #belize #universitylife https://t.co/fQWrHROk9X","['fridayfact', 'fridayfacts']"
58,ZeenatK73230621,Entrepreneur,Pune,5,1,136,3,"#fridayfact
Our liver simultaneously performs over 200 important functions for the body. Some of these important functions include supplying glucose to the brain, combating infections, and storing nutrients
.
.
#ccu #columbuscentraluniversity #university #universitylife https://t.co/TErFH9taP1",['fridayfact']
59,Ahecounselling,Lesson Learnt and Applied.,,3,6,270,0,"Complete Your Case Study The #AHECounselling.
https://t.co/ccZveLial6
#university #college #student #education #students #study #studentlife #universitylife #collegelife #photography #CaseStudies #motivation #memes #assignment #CaseStudy #music #uk #usa #australia #MBA #sydney https://t.co/NICYSkzGpm","['AHECounselling', 'university', 'college', 'student', 'education', 'students', 'study', 'studentlife', 'universitylife', 'collegelife', 'photography', 'CaseStudies', 'motivation', 'memes', 'assignment', 'CaseStudy', 'music', 'uk', 'usa', 'australia', 'MBA', 'sydney']"
60,kabaliuoh,Adventure traveller,Hyderabad ,140,45,106,0,"With my  Bodypracticiner 
Guru@ Naveen Vajra …
Sukoon 2022
University Of Hyderabad 

#selvankabali
#sukoon2022
#HCU
#universitystudent
#universitylife
#campusfiles
#universitylife https://t.co/nQV1b7ijhi","['selvankabali', 'sukoon2022', 'HCU', 'universitystudent', 'universitylife', 'campusfiles', 'universitylife']"
61,ScottBradbrook,"Author of Take It From A Teenager (2020), Editor, Tutor, Copywriter, Salsa Enthusiast, Tea drinker, and general hoarder of books to be read 📚🖊📖","Adelaide, South Australia",1219,1232,784,0,"A week of editing and all done for the semester!

#writer #write #writing #writes #writers #amwriting #author #authors #chocolatechipcookies #tea #ghostbusters #rain #vibe #university #uni #unilife #universitylife #editor #edits #editing #break #movie #mug #loki #baking","['writer', 'write', 'writing', 'writes', 'writers', 'amwriting', 'author', 'authors', 'chocolatechipcookies', 'tea', 'ghostbusters', 'rain', 'vibe', 'university', 'uni', 'unilife', 'universitylife', 'editor', 'edits', 'editing', 'break', 'movie', 'mug', 'loki', 'baking']"
